<INFO  17:08:49,088 SimpleNode::dump> tg=<pool-3-thread-3>       THEN>
<INFO  17:08:49,089 SimpleNode::dump> tg=<pool-3-thread-3>        messageIn search[Destination=unset, Date=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,089 SimpleNode::dump> tg=<pool-3-thread-3>         constraint createResponse[Destination=unset, Date=unset, FlightStatus=unset, FlightID=unset, FlightPrice=unset, AirlineName=unset]>
<INFO  17:08:49,089 SimpleNode::dump> tg=<pool-3-thread-3>        THEN>
<INFO  17:08:49,089 SimpleNode::dump> tg=<pool-3-thread-3>         messageOut response[FlightStatus=unset, FlightID=unset, FlightPrice=unset, AirlineName=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,090 SimpleNode::dump> tg=<pool-3-thread-3>         newRole a(airline[],unset)>
<INFO  17:08:49,090 SimpleNode::dump> tg=<pool-3-thread-3>       THEN>
<INFO  17:08:49,090 SimpleNode::dump> tg=<pool-3-thread-3>        messageIn reserve[FlightID=unset, TravelAgencyID=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,090 SimpleNode::dump> tg=<pool-3-thread-3>         constraint createReserve[FlightID=unset, TravelAgencyID=unset, ReserveCost=unset]>
<INFO  17:08:49,090 SimpleNode::dump> tg=<pool-3-thread-3>        THEN>
<INFO  17:08:49,091 SimpleNode::dump> tg=<pool-3-thread-3>         messageOut response[ReserveCost=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,091 SimpleNode::dump> tg=<pool-3-thread-3>         newRole a(airline[],unset)>
<INFO  17:08:49,091 SimpleNode::dump> tg=<pool-3-thread-3>      THEN>
<INFO  17:08:49,091 SimpleNode::dump> tg=<pool-3-thread-3>       messageIn payment[AirlinePayment=unset, Reserve=unset, Name=unset, CcNumber=unset] => a(acquirer[],unset)>
<INFO  17:08:49,092 SimpleNode::dump> tg=<pool-3-thread-3>       THEN>
<INFO  17:08:49,092 SimpleNode::dump> tg=<pool-3-thread-3>        messageOut confirmation[Reserve=unset, Name=unset, AirlinePayment=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,092 SimpleNode::dump> tg=<pool-3-thread-3>         constraint createEticket[AirlinePayment=unset, Reserve=unset, Name=unset, CcNumber=unset, Eticket=unset]>
<INFO  17:08:49,092 SimpleNode::dump> tg=<pool-3-thread-3>        THEN>
<INFO  17:08:49,093 SimpleNode::dump> tg=<pool-3-thread-3>         messageOut responseAL[Eticket=unset] => a(traveler[],unset)>
<INFO  17:08:49,093 SimpleNode::dump> tg=<pool-3-thread-3>         newRole a(airline[],unset)>
<INFO  17:08:49,093 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,093 SimpleNode::dump> tg=<pool-3-thread-3>      messageIn notificationAL[Status=unset] => a(acquirer[],unset)>
<INFO  17:08:49,093 SimpleNode::dump> tg=<pool-3-thread-3>       constraint emitNotificationAL[Status=unset, Eticket=unset]>
<INFO  17:08:49,094 SimpleNode::dump> tg=<pool-3-thread-3>      THEN>
<INFO  17:08:49,094 SimpleNode::dump> tg=<pool-3-thread-3>       messageOut responseAL[Eticket=unset] => a(traveler[],unset)>
<INFO  17:08:49,094 SimpleNode::dump> tg=<pool-3-thread-3>       newRole a(airline[],unset)>
<INFO  17:08:49,094 SimpleNode::dump> tg=<pool-3-thread-3>    THEN>
<INFO  17:08:49,095 SimpleNode::dump> tg=<pool-3-thread-3>     messageIn cancel[Reserve=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,095 SimpleNode::dump> tg=<pool-3-thread-3>      constraint cancelReserve[Reserve=unset, Confirmation=unset]>
<INFO  17:08:49,095 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,095 SimpleNode::dump> tg=<pool-3-thread-3>      messageOut response[Confirmation=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,095 SimpleNode::dump> tg=<pool-3-thread-3>      newRole a(airline[],unset)>
<INFO  17:08:49,096 SimpleNode::dump> tg=<pool-3-thread-3>  clause a(acquirer[],unset)>
<INFO  17:08:49,096 SimpleNode::dump> tg=<pool-3-thread-3>   THEN>
<INFO  17:08:49,096 SimpleNode::dump> tg=<pool-3-thread-3>    messageIn check[Reserve=unset, Name=unset, CcNumber=unset, TotalPrice=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,096 SimpleNode::dump> tg=<pool-3-thread-3>    OR>
<INFO  17:08:49,096 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,097 SimpleNode::dump> tg=<pool-3-thread-3>      messageOut approval[Status=unset, TravelAgencyPayment=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,097 SimpleNode::dump> tg=<pool-3-thread-3>       constraint countPayments[Reserve=unset, Name=unset, CcNumber=unset, TotalPrice=unset, Status=unset, TravelAgencyPayment=unset, AirlinePayment=unset]>
<INFO  17:08:49,097 SimpleNode::dump> tg=<pool-3-thread-3>      THEN>
<INFO  17:08:49,097 SimpleNode::dump> tg=<pool-3-thread-3>       messageOut payment[AirlinePayment=unset, Reserve=unset, Name=unset, CcNumber=unset] => a(airline[],unset)>
<INFO  17:08:49,097 SimpleNode::dump> tg=<pool-3-thread-3>       newRole a(acquirer[],unset)>
<INFO  17:08:49,098 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,098 SimpleNode::dump> tg=<pool-3-thread-3>      messageOut notificationTA[Status=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,098 SimpleNode::dump> tg=<pool-3-thread-3>       constraint verifyStatus[Status=unset]>
<INFO  17:08:49,098 SimpleNode::dump> tg=<pool-3-thread-3>      THEN>
<INFO  17:08:49,099 SimpleNode::dump> tg=<pool-3-thread-3>       messageOut notificationAL[Status=unset] => a(airline[],unset)>
<INFO  17:08:49,099 SimpleNode::dump> tg=<pool-3-thread-3>       newRole a(acquirer[],unset)>
<INFO  17:08:49,099 LCCInterpreterImpl::setModel> tg=<pool-3-thread-3> {travelAgency[]=RoleSemantics{role:travelAgency,type:necessary,min:1,max:1}, traveler[]=RoleSemantics{role:traveler,type:initial,min:1,max:1}, acquirer[]=RoleSemantics{role:acquirer,type:necessary,min:1,max:1}, airline[]=RoleSemantics{role:airline,type:necessary,min:1,max:1}}>
<DEBUG 17:08:49,110 LCCModelAnalyser::analyseModel> tg=<pool-3-thread-3> Constraints for travelAgency are [registerUser(Name,CcNumber), searchResult(FlightStatus,FlightID,FlightPrice,AirlineName), buildResponse(FlightStatus,FlightID,FlightPrice,AirlineName), travelAgencyMakesAReservation(FlightID,TravelAgencyID), travelAgencyRegisterReservation(ReserveCost,Reserve), confirmCancellation(Reserve), catchUserData(Reserve,Name,CcNumber,TotalPrice), registerPayment(Status,TravelAgencyPayment), emitStatement(Reserve,Name,AirlinePayment,Statement), emitNotificationTA(Status,Statement)]>
<DEBUG 17:08:49,110 LCCModelAnalyser::analyseModel> tg=<pool-3-thread-3> Constraints for traveler are [userInitiatesOrderTrip(Destination,Date,Name,CcNumber), flights(FlightStatus,FlightID,FlightPrice,AirlineName), userMakesAReservation(FlightID), reserve(Reserve), userMakesABook(Reserve), statement(Statement), eTicket(Eticket), userMakesACancellation(Reserve), cancellation(Confirmation)]>
<DEBUG 17:08:49,110 LCCModelAnalyser::analyseModel> tg=<pool-3-thread-3> Constraints for acquirer are [countPayments(Reserve,Name,CcNumber,TotalPrice,Status,TravelAgencyPayment,AirlinePayment), verifyStatus(Status)]>
<DEBUG 17:08:49,111 LCCModelAnalyser::analyseModel> tg=<pool-3-thread-3> Constraints for airline are [createResponse(Destination,Date,FlightStatus,FlightID,FlightPrice,AirlineName), createReserve(FlightID,TravelAgencyID,ReserveCost), createEticket(AirlinePayment,Reserve,Name,CcNumber,Eticket), emitNotificationAL(Status,Eticket), cancelReserve(Reserve,Confirmation)]>
<DEBUG 17:08:49,112 LCCModelAnalyser::analyseModel> tg=<pool-3-thread-3> 

*********** LCCModelImpl Statistics ***********
 Number of Participants: 4
 Participants' Roles: 
   travelAgency = [travelAgency]
   traveler = [traveler]
   acquirer = [acquirer]
   airline = [airline]
 Participants' Constraints: 
   travelAgency = [emitStatement(Reserve,Name,AirlinePayment,Statement), emitNotificationTA(Status,Statement), buildResponse(FlightStatus,FlightID,FlightPrice,AirlineName), catchUserData(Reserve,Name,CcNumber,TotalPrice), registerUser(Name,CcNumber), searchResult(FlightStatus,FlightID,FlightPrice,AirlineName), travelAgencyRegisterReservation(ReserveCost,Reserve), registerPayment(Status,TravelAgencyPayment), travelAgencyMakesAReservation(FlightID,TravelAgencyID), confirmCancellation(Reserve)]
   traveler = [statement(Statement), userInitiatesOrderTrip(Destination,Date,Name,CcNumber), flights(FlightStatus,FlightID,FlightPrice,AirlineName), cancellation(Confirmation), eTicket(Eticket), userMakesACancellation(Reserve), userMakesAReservation(FlightID), userMakesABook(Reserve), reserve(Reserve)]
   acquirer = [verifyStatus(Status), countPayments(Reserve,Name,CcNumber,TotalPrice,Status,TravelAgencyPayment,AirlinePayment)]
   airline = [createResponse(Destination,Date,FlightStatus,FlightID,FlightPrice,AirlineName), createEticket(AirlinePayment,Reserve,Name,CcNumber,Eticket), cancelReserve(Reserve,Confirmation), createReserve(FlightID,TravelAgencyID,ReserveCost), emitNotificationAL(Status,Eticket)]
 Participant incoming communications: 
   travelAgency = [traveler, airline, acquirer]
   traveler = [travelAgency, airline]
   acquirer = [travelAgency]
   airline = [travelAgency, acquirer]
 Participant outgoing communications: 
   travelAgency = [airline, traveler, acquirer]
   traveler = [travelAgency]
   acquirer = [travelAgency, airline]
   airline = [travelAgency, traveler]
 Role incoming communications: 
   travelAgency = [traveler, acquirer, airline]
   traveler = [travelAgency]
   acquirer = [travelAgency, airline]
   airline = [travelAgency, traveler]
 Role outgoing communications: 
   travelAgency = [traveler, airline, acquirer]
   traveler = [travelAgency, airline]
   acquirer = [travelAgency]
   airline = [travelAgency, acquirer]
****************************************
>
<DEBUG 17:08:49,286 MatchManager::getInputStream> tg=<pool-3-thread-3> Trying to load /WordNet/multiwords.hash from [jar]>
<INFO  17:08:50,511 InteractionTask::processReceivedInteraction> tg=<pool-3-thread-3> >>> IM 528f5c7c7185c98b9a6ec5c3d6f58de8 will be processed>
<INFO  17:08:50,511 InteractionTask::subscribe> tg=<pool-3-thread-3> >>> Will subscribe to 528f5c7c7185c98b9a6ec5c3d6f58de8>
*** SUBSCRIBED! ***
<WARN  17:08:58,224 DiagnosticModuleImpl::subscriptionAccepted> tg=<pool-3-thread-8> Warning: SubscriptionNegotiator EPID was not in listener map: {}>
<DEBUG 17:11:49,767 SingleClientConnManager::getConnection> tg=<pool-4-thread-1> Get connection for route HttpRoute[{}->http://localhost:9881]>
<DEBUG 17:11:49,770 ClientParamsStack::getParameter> tg=<pool-4-thread-1> 'http.connection.timeout': 60000>
<DEBUG 17:11:49,771 ClientParamsStack::getParameter> tg=<pool-4-thread-1> 'http.tcp.nodelay': true>
<DEBUG 17:11:49,771 ClientParamsStack::getParameter> tg=<pool-4-thread-1> 'http.socket.buffer-size': 8192>
<DEBUG 17:11:49,784 ClientParamsStack::getParameter> tg=<pool-4-thread-1> 'http.protocol.version': HTTP/1.1>
<DEBUG 17:11:49,785 ClientParamsStack::getParameter> tg=<pool-4-thread-1> 'http.useragent': Apache-HttpClient/4.0 (java 1.5)>
<DEBUG 17:11:49,786 ClientParamsStack::getParameter> tg=<pool-4-thread-1> 'http.protocol.expect-continue': true>
<DEBUG 17:11:49,786 RequestAddCookies::process> tg=<pool-4-thread-1> CookieSpec selected: best-match>
<DEBUG 17:11:49,797 DefaultRequestDirector::execute> tg=<pool-4-thread-1> Attempt 1 to execute request>
<DEBUG 17:11:49,798 DefaultClientConnection::sendRequestHeader> tg=<pool-4-thread-1> Sending request: POST /travelagency/users HTTP/1.1>
<DEBUG 17:11:49,798 Wire::wire> tg=<pool-4-thread-1> >> "POST /travelagency/users HTTP/1.1[EOL]">
<DEBUG 17:11:49,799 Wire::wire> tg=<pool-4-thread-1> >> "Content-Length: 20[EOL]">
<DEBUG 17:11:49,800 Wire::wire> tg=<pool-4-thread-1> >> "Content-Type: text/plain; charset=UTF-8[EOL]">
<DEBUG 17:11:49,800 Wire::wire> tg=<pool-4-thread-1> >> "Host: localhost:9881[EOL]">
<DEBUG 17:11:49,800 Wire::wire> tg=<pool-4-thread-1> >> "Connection: Keep-Alive[EOL]">
<DEBUG 17:11:49,800 Wire::wire> tg=<pool-4-thread-1> >> "User-Agent: Apache-HttpClient/4.0 (java 1.5)[EOL]">
<DEBUG 17:11:49,800 Wire::wire> tg=<pool-4-thread-1> >> "Expect: 100-Continue[EOL]">
<DEBUG 17:11:49,801 Wire::wire> tg=<pool-4-thread-1> >> "[EOL]">
